dataset_id,cost_reward_ratio,treat_none,treat_none_phi,treat_all,tret_all_phi,s-learner_policy_1,s-learner_policy_1_phi,s-learner_policy_2,s-learner_policy_2_phi,double_machine_learning_policy_1,double_machine_learning_policy_1_phi,double_machine_learning_policy_2,double_machine_learning_policy_2_phi,x-learner_policy_1,x-learner_policy_1_phi,x-learner_policy_2,x-learner_policy_2_phi,causal_forest_policy_1,causal_forest_policy_1_phi,causal_forest_policy_2,causal_forest_policy_2_phi
4,0.0666666666666666,476970.0,0.0,456894.0,1.0,479234.0,0.1458975182868051,478076.0,0.1319674145198178,481136.0,0.0790254597690286,480038.0,0.0732984293193717,472512.0,0.3590451169032453,478262.0,0.308749314835466,480472.0,0.2096697979473415,480028.0,0.2448825297219649
5,0.0666666666666666,484500.0,0.0,455776.0,1.0,486848.0,0.1171678605855557,487546.0,0.1025006142854442,486782.0,0.0590092048311187,487238.0,0.0562118434233655,477780.0,0.3480635832687546,485290.0,0.2820420738276598,489388.0,0.1528909218061882,486638.0,0.1890487081104579
6,0.0666666666666666,481800.0,0.0,456296.0,1.0,482642.0,0.1216663201466724,482106.0,0.1089269850870395,481810.0,0.0627138185873324,481982.0,0.0593494244617914,474338.0,0.356795887122687,478488.0,0.2979945942880904,480980.0,0.1772733286710643,479288.0,0.2120135331808645
7,0.0666666666666666,476820.0,0.0,457038.0,1.0,477354.0,0.1027841306443381,478832.0,0.0869072145462793,477392.0,0.0359309732171546,478070.0,0.0317349311055247,473736.0,0.3387453456064415,473436.0,0.2808891073014913,482272.0,0.1721889353015669,482164.0,0.2072504583514468
8,0.0666666666666666,477750.0,0.0,452864.0,1.0,483316.0,0.1045230309788874,483708.0,0.0873419396299166,480064.0,0.0282571304364261,479706.0,0.0268962519137354,479978.0,0.328463152323889,476240.0,0.2610051599977319,481110.0,0.1505849887538511,480628.0,0.1852117867200937
9,0.0666666666666666,478140.0,0.0,450188.0,1.0,481906.0,0.0977564405466195,481922.0,0.0853573251176592,479520.0,0.0417336080291832,479018.0,0.0373296539210312,478874.0,0.3279150206966942,476834.0,0.2662785642731585,480094.0,0.1443098266769992,484506.0,0.1813370631485436
10,0.0666666666666666,483090.0,0.0,447078.0,1.0,484888.0,0.0992685277940537,485650.0,0.0865291927344207,484444.0,0.0475740450223977,485230.0,0.0429432778271306,471028.0,0.3465892982025063,473578.0,0.2822877880053679,484770.0,0.1557449864857202,481148.0,0.1979133195985408
11,0.0666666666666666,480090.0,0.0,455292.0,1.0,484934.0,0.1113274235923412,486014.0,0.0983234732644073,479288.0,0.0562685466951443,479380.0,0.0525261307577447,475838.0,0.3406543557563271,474076.0,0.2843480068799969,483026.0,0.1743058574479747,482376.0,0.2077796888880488
12,0.0666666666666666,486570.0,0.0,447332.0,1.0,492738.0,0.1110439072334473,493160.0,0.0962065511179995,487712.0,0.0412421796737671,487902.0,0.0373296539210312,475672.0,0.333415238059236,478732.0,0.2679229591547432,485882.0,0.1644205870678738,482588.0,0.1988394730375942
13,0.0666666666666666,479220.0,0.0,458174.0,1.0,483908.0,0.0896100705010679,483984.0,0.0756421645528947,479610.0,0.0472905286635038,480622.0,0.0447199803428657,475230.0,0.3492732530667019,479188.0,0.2879581151832461,486980.0,0.1619256431096074,483702.0,0.1958341996333188
14,0.0666666666666666,482400.0,0.0,449952.0,1.0,484158.0,0.0838074356890392,484126.0,0.0743568903925756,485234.0,0.0481977810119643,485174.0,0.0453248152418394,478342.0,0.3413725971988584,477164.0,0.2811159203886064,486278.0,0.1645906968832101,479934.0,0.226945394749277
15,0.0666666666666666,471420.0,0.0,453876.0,1.0,478036.0,0.0622412913225093,476864.0,0.0479520668342563,474576.0,0.0414878938514752,473952.0,0.0391252575273593,472170.0,0.3338121609616875,473302.0,0.2731585612489841,478244.0,0.142797739429565,476472.0,0.1791445366397641
16,0.0666666666666666,480330.0,0.0,457772.0,1.0,483852.0,0.0920861133687413,482024.0,0.0741867805772393,481934.0,0.0424518494717145,481312.0,0.0391252575273593,476934.0,0.3359479841986882,479114.0,0.2843102046988111,478886.0,0.1530799327121174,482632.0,0.1922051902394768
17,0.0666666666666666,482130.0,0.0,454984.0,1.0,487250.0,0.1007050106791161,486858.0,0.0872096319957661,484636.0,0.0450791010641314,485388.0,0.0424140472905286,474394.0,0.3486873192583212,478888.0,0.2865216322981836,484168.0,0.1569357551930746,486188.0,0.1928289262290434
18,0.0666666666666666,486780.0,0.0,450144.0,1.0,486136.0,0.1062808324040297,487854.0,0.0906307293930859,487804.0,0.0432834974578033,488132.0,0.0412232785831742,477990.0,0.3349273253066702,479436.0,0.2750108681270909,489514.0,0.1528153174438165,484848.0,0.1924509044171848
19,0.0666666666666666,476700.0,0.0,460358.0,1.0,483772.0,0.1406808172831572,482198.0,0.114767422080254,478290.0,0.0562307445139584,478728.0,0.0518267904058064,480526.0,0.3491598465231444,479820.0,0.2883172359045117,483582.0,0.1732284952841778,482274.0,0.212391554992723
20,0.0666666666666666,483120.0,0.0,452100.0,1.0,486326.0,0.0805186459258699,487648.0,0.0655111799950857,484598.0,0.0426030581964579,484688.0,0.0408074545901298,477450.0,0.3219233749787363,480896.0,0.251082087436445,491694.0,0.1484113633356644,487694.0,0.1796170639045873
21,0.0666666666666666,483810.0,0.0,452626.0,1.0,486482.0,0.1149186308049974,486530.0,0.0966412762016368,485214.0,0.0447388814334587,486072.0,0.0408830589525015,477284.0,0.3449449033209216,478964.0,0.2800574593154025,489914.0,0.1694482771655924,490654.0,0.2021093617101707
22,0.0666666666666666,484140.0,0.0,450958.0,1.0,485524.0,0.1393766420322452,486988.0,0.1188311565577333,485392.0,0.0597652484548358,486992.0,0.0558527227020999,477602.0,0.3471563309202941,479668.0,0.2821554803712174,485974.0,0.1670478386602907,485396.0,0.2015801311735687
23,0.0666666666666666,484140.0,0.0,446978.0,1.0,484366.0,0.1033511633621259,485118.0,0.0931445744419453,485144.0,0.0449656945205738,485436.0,0.0433969040013608,466810.0,0.3623528077570075,473268.0,0.3037027236471544,482320.0,0.1747027803504262,485002.0,0.2103880393898728
24,0.0666666666666666,473250.0,0.0,451446.0,1.0,478054.0,0.117886102028087,477784.0,0.0962254522085924,473628.0,0.0610883247963407,474492.0,0.058158655754437,471784.0,0.3516169883002249,474006.0,0.2960855841382048,475102.0,0.173701022549001,473160.0,0.2083278205152437
25,0.0666666666666666,482820.0,0.0,451982.0,1.0,485060.0,0.110873797418111,486116.0,0.094770068232937,484160.0,0.050371406430151,484470.0,0.0469503090328311,476046.0,0.325892604003251,479500.0,0.263821422496078,489660.0,0.155537074489198,479440.0,0.1906363997202638
26,0.0666666666666666,484860.0,0.0,460068.0,1.0,491198.0,0.0875498516264388,490392.0,0.0770030430755854,484914.0,0.0490861322698319,484872.0,0.0464399795868221,476726.0,0.3352486438467499,480694.0,0.272137902356966,489524.0,0.1557449864857202,492854.0,0.1863080499744835
27,0.0666666666666666,481110.0,0.0,455566.0,1.0,484526.0,0.13527510537358,485306.0,0.1125181922996956,482832.0,0.0432645963672103,483088.0,0.0401648175099703,481492.0,0.368722475286824,476618.0,0.3172359045116903,482908.0,0.1897480484623963,480834.0,0.225641219498365
28,0.0666666666666666,485100.0,0.0,453626.0,1.0,486744.0,0.1074716011113841,487618.0,0.0887595214243861,487426.0,0.0491239344510178,487302.0,0.0465911883115655,474912.0,0.337044247453078,475268.0,0.2733853743360992,483194.0,0.1646852023361747,485988.0,0.2041128773130209
29,0.0666666666666666,481200.0,0.0,453306.0,1.0,486984.0,0.1079630294668002,486278.0,0.0928610580830514,484788.0,0.0423951461999357,485230.0,0.0373107528304383,486258.0,0.3531290755476591,482546.0,0.2940631674447616,489030.0,0.1746271759880545,490846.0,0.2072315572608539
30,0.0666666666666666,480360.0,0.0,449092.0,1.0,487210.0,0.1118188519477573,487062.0,0.0939384202468482,484190.0,0.0428676734647589,484868.0,0.039446576067439,472454.0,0.3312227115504564,478214.0,0.2685277940537169,485526.0,0.1527397130814448,483178.0,0.1890676092010509
31,0.0666666666666666,481590.0,0.0,452724.0,1.0,483116.0,0.1081520403727295,482740.0,0.0969247925605307,482282.0,0.0432645963672103,482980.0,0.0418659156633337,475858.0,0.3411079819305574,479702.0,0.2838754796151738,484804.0,0.1647041034267677,483476.0,0.1987260664940367
32,0.0666666666666666,486000.0,0.0,455624.0,1.0,490094.0,0.0837507324172604,490370.0,0.0649441472772979,486796.0,0.0321507550985691,488122.0,0.0302417449486835,479588.0,0.3359668852892812,484790.0,0.2654280151964768,485906.0,0.1442153212240346,485362.0,0.1839832158315534
33,0.0666666666666666,478440.0,0.0,454246.0,1.0,476548.0,0.0988716048916022,477880.0,0.0819362277203394,480094.0,0.0412610807643601,480446.0,0.0397867956981117,470080.0,0.3489519345266222,477104.0,0.294460090347213,481158.0,0.165913773224715,480456.0,0.2019581529854272
